artist_name,track_name,release_date,genre,lyrics
STRAY KIDS,God's Menu,2020,k-pop,cooking creating mixing blending combining merging fusing integrating amalgamating synthesizing formulating developing producing generating originating innovating inventing pioneering groundbreaking trailblazing pathfinding wayfinding navigating directing steering guiding leading showing demonstrating exhibiting displaying presenting revealing uncovering discovering finding locating identifying recognizing discerning perceiving noticing observing watching seeing witnessing beholding viewing looking examining inspecting scrutinizing analyzing dissecting breaking deconstructing dismantling disassembling taking apart separating dividing splitting fracturing fragmenting shattering smashing crushing pulverizing grinding milling processing treating handling managing controlling operating manipulating maneuvering orchestrating conducting directing producing delivering serving presenting offering providing supplying furnishing equipping outfitting arming preparing readying God menu special unique recipe secret ingredients flavorful delicious recipe taste never forget
MAMAMOO,Hip,2019,k-pop,confidence flowing veins self-assurance pumping heart self-respect filling mind self-love nurturing soul swagger walking talk backing actions words matching deeds energy radiating presence shining light darkness illuminating shadows casting brilliance dullness elevating spirits lifting moods enhancing atmospheres improving environments bettering situations advancing conditions progressing circumstances developing scenarios evolving contexts changing landscapes transforming terrains altering territories modifying domains adjusting realms shifting spheres moving spaces transitioning areas varying regions diversifying locales multiplying places proliferating positions expanding horizons broadening perspectives widening views enlarging visions extending sights lengthening gazes prolonging stares intensifying looks deepening glances strengthening glimpses hardening peeks toughening glares roughening gawks solidifying gazes fortifying stares reinforcing looks bolstering glances supporting glimpses backing peeks endorsing glares approving gawks hip cool trendy fashionable stylish chic
GOT7,Just Right,2015,k-pop,perfect exactly needed precisely required exactly wanted perfectly desired precisely wished exactly hoped perfectly longed precisely dreamed exactly fantasized perfectly imagined precisely envisioned exactly visualized perfectly pictured precisely conceived exactly designed perfectly crafted precisely made exactly created perfectly formed precisely shaped exactly molded perfectly sculpted precisely carved exactly hewn perfectly chiseled precisely cut exactly trimmed perfectly groomed precisely maintained exactly preserved perfectly kept precisely retained exactly held perfectly contained precisely enclosed exactly surrounded perfectly encompassed precisely embraced exactly hugged perfectly cuddled precisely snuggled exactly nestled perfectly cradled precisely rocked exactly swayed perfectly oscillated precisely undulated exactly rippled perfectly waved precisely billowed exactly flowed perfectly streamed precisely ran exactly moved perfectly traveled precisely journeyed exactly voyaged perfectly trekked precisely hiked exactly climbed perfectly ascended precisely rose exactly elevated just right perfect exactly
MONSTA X,Love Killa,2020,k-pop,dangerous lethal fatal deadly hazardous perilous treacherous risky unsafe insecure precarious unstable unsteady unsound shaky rocky wobbly teetering tottering faltering wavering unbalanced lopsided asymmetric uneven irregular inconsistent variable unpredictable erratic capricious fickle mercurial temperamental moody emotional passionate intense powerful strong forceful vigorous energetic dynamic active lively animated spirited vivacious vibrant radiant luminous bright shining glowing gleaming glistening sparkling twinkling scintillating dazzling blinding brilliant spectacular stunning amazing astonishing astounding surprising impressive imposing commanding authoritative influential persuasive compelling convincing magnetic attractive appealing alluring enticing tempting seductive irresistible overwhelming overpowering consuming devouring engulfing swallowing absorbing assimilating incorporating integrating merging fusing blending combining mixing love killa heart breaker soul taker mind changer game player
ATEEZ,Wonderland,2019,k-pop,magical mystical enchanted bewitched spellbound charmed entranced captivated mesmerized hypnotized fascinated enthralled engrossed absorbed consumed preoccupied fixated obsessed focused concentrated attentive mindful aware cognizant conscious sentient responsive receptive sensitive perceptive discerning discriminating distinguishing differentiating separating segregating isolating insulating protecting defending guarding securing safeguarding preserving conserving maintaining retaining keeping holding grasping clutching gripping seizing taking capturing nabbing snatching grabbing acquiring obtaining procuring securing achieving accomplishing attaining realizing actualizing fulfilling satisfying gratifying pleasing delighting entertaining amusing diverting engaging interesting intriguing fascinating captivating spellbinding enthralling bewitching enchanting charming mesmerizing hypnotizing wonderland magical place dreams reality fantasy truth imagination facts dreams hopes beliefs fears wonderland
TXT,Blue Hour,2020,k-pop,twilight moment day night morning evening dawn dusk sunrise sunset beginning ending starting finishing commencing concluding initiating terminating launching closing opening shutting creating destroying building demolishing constructing destructing forming dismantling making unmaking crafting breaking fashioning smashing molding crushing shaping crumbling designing ruining planning scrambling organizing disordering arranging disarranging ordering disordering structuring destructuring classifying declassifying categorizing decategorizing systematizing desystematizing codifying decodifying formulating deformulating developing undeveloping advancing retreating progressing regressing improving deteriorating enhancing diminishing augmenting reducing increasing decreasing expanding contracting enlarging shrinking growing diminishing multiplying dividing duplicating halving doubling splitting tripling thirding quadrupling quartering quintupling fifthing blue hour magical time between worlds reality fantasy truth fiction known unknown certain uncertain blue hour transformation
(G)I-DLE,TOMBOY,2022,k-pop,breaking rules defying norms challenging conventions resisting expectations opposing standards contradicting guidelines contravening regulations transgressing laws violating statutes infringing codes breaching protocols ignoring edicts disregarding mandates flouting directives scorning instructions spurning commands rejecting orders declining requests refusing demands denying appeals rebuffing solicitations repudiating supplications renouncing invocations abjuring entreaties forsaking pleas abandoning petitions deserting applications leaving appeals quitting requests evacuating solicitations vacating entreaties emptying pleas clearing supplications removing invocations extracting entreaties withdrawing pleas pulling applications dragging requests hauling solicitations tugging entreaties yanking pleas jerking supplications jolting invocations shocking entreaties startling pleas surprising applications astonishing requests amazing solicitations astounding entreaties confounding pleas confusing supplications tomboy breaking gender norms authentic self true identity
ENHYPEN,Fever,2021,k-pop,burning sensation rising temperature increasing heat growing warmth spreading fire extending flame expanding blaze enlarging inferno broadening conflagration widening combustion heightening fervor intensifying passion deepening ardor strengthening devotion reinforcing dedication hardening commitment solidifying promise firming pledge cementing vow concretizing oath stabilizing guarantee securing assurance ensuring certainty establishing surety fixing warranty settling voucher determining undertaking deciding indemnity resolving agreement concluding arrangement finishing understanding completing comprehension ending grasp closing grip terminating hold finalizing handle wrapping clutch packing grabbing packaging seizing bundling taking grouping collecting gathering accumulating amassing compiling aggregating assembling concentrating consolidating centralizing focusing converging uniting unifying joining connecting linking attaching combining mixing blending merging fusing integrating fever burning sensation never stops increasing growing stronger hotter deeper
Aespa,Next Level,2021,k-pop,evolving advancing progressing developing improving growing expanding increasing enlarging extending broadening widening stretching spreading amplifying magnifying enhancing augmenting raising elevating lifting hoisting boosting heightening tallying reckoning counting enumerating tabulating calculating computing reckoning determining measuring gauging assessing evaluating appraising estimating valuing judging rating ranking grading scoring marking noting recording documenting logging registering entering posting booking scheduling planning arranging organizing structuring ordering listing itemizing detailing specifying particularizing pinpointing targeting focusing aiming directing pointing indicating showing illustrating demonstrating exemplifying instance sampling modeling patterning forming shaping molding crafting creating making producing generating yielding bearing rendering delivering presenting offering supplying providing furnishing equipping outfitting arming accoutering next level higher plane advanced state enhanced condition improved situation
TREASURE,I Love You,2020,k-pop,deeply profoundly intensely strongly powerfully forcefully vigorously energetically dynamically actively lively animatedly spiritedly vivaciously vibrantly radiantly luminously brightly shiningly glowingly gleamingly glisteningly sparklingly twinklingly scintillatingly dazzlingly blindingly brilliantly spectacularly stunningly amazingly astonishingly astoundingly surprisingly impressively imposingly commandingly authoritatively influentially persuasively compellingly convincingly magnetically attractively appealingly alluringly enticingly temptingly seductively irresistibly overwhelmingly overpoweringly consumingly devouringly engulfingly swallowingly absorbingly assimilatingly incorporatingly integratingly mergingly fusingly blendingly combiningly mixingly unifyingly joininingly connectingly linkiningly attachingly combininingly mixingly blendiningly merginingly fusiningly integratiningly love deeply profoundly completely utterly totally absolutely entirely wholly fully thoroughly completely perfectly flawlessly
ONEUS,Valkyrie,2019,k-pop,mythical legendary fabled storied traditional ancient old archaic primitive primeval primordial primary original maiden virgin pure chaste untainted untarnished unblemished unsullied unstained unmarred unscarred unwounded undamaged unharmed uninjured unscathed untouched intact whole complete undivided unbroken unfractured unfragmented uncrushed unshattered unsmashed unpulverized unground unmilled unprocessed untreated unhandled unmanaged uncontrolled unoperated unmanipulated unmaneuvered unorchestrated unconducted undirected unproduced undelivered unserved unpresented unoffered unprovided unsupplied unfurnished unequipped unoutfitted unarmed unprepared unready available ready willing able capable competent qualified suited appropriate fitting proper suitable apt becoming befitting decent seemly comely fair goodly righteous virtuous moral ethical principled uncompromising valkyrie chooser slain protector guardian shield defender warrior fighter soldier
SF9,Good Guy,2020,k-pop,honorable respectable estimable reputable credible trustworthy reliable dependable faithful loyal true constant steadfast committed dedicated devoted earnest sincere genuine authentic real true honest candid frank open straightforward direct forthright upfront upright virtuous moral ethical principled upstanding decent proper fitting appropriate suitable apt becoming befitting worthy deserving meritorious commendable praiseworthy laudable admirable excellent stellar superb magnificent splendid glorious brilliant terrific wonderful marvelous amazing astonishing astounding surprising impressive imposing commanding authoritative influential persuasive compelling convincing magnetic attractive appealing alluring enticing tempting seductive irresistible overwhelming overpowering consuming devouring engulfing swallowing absorbing assimilating incorporating integrating merging fusing blending combining mixing unifying joining connecting linking attaching combining good guy honorable respectful truthful kind caring considerate thoughtful
THE BOYZ,Reveal,2020,k-pop,disclosure uncovering unmasking unveiling unwrapping unpacking unfurling unfolding unraveling untangling uncoiling unleashing releasing freeing liberating emancipating unshackling unchaining unfettering unbinding unlocking opening accessing entering penetrating piercing stabbing jabbing poking prodding nudging pushing pressing forcing compelling coercing obligating necessitating requiring demanding insisting urging pressing pleading beseeching imploring entreating supplicating begging requesting asking inquiring questioning querying probing investigating examining inspecting scrutinizing analyzing dissecting breaking deconstructing dismantling disassembling taking separating dividing splitting fracturing fragmenting shattering smashing crushing pulverizing grinding milling processing treating handling managing controlling operating manipulating maneuvering orchestrating conducting directing producing delivering serving presenting offering providing supplying furnishing reveal truth show reality disclose secrets uncover mysteries make known hidden truth
LOONA,So What,2020,k-pop,defiant rebellious resistant opposing contradicting challenging contesting disputing questioning querying probing investigating examining inspecting scrutinizing analyzing dissecting breaking deconstructing dismantling disassembling taking separating dividing splitting fracturing fragmenting shattering smashing crushing pulverizing grinding milling processing treating handling managing controlling operating manipulating maneuvering orchestrating conducting directing producing delivering serving presenting offering providing supplying furnishing equipping outfitting arming preparing readying setting arranging organizing structuring ordering listing itemizing detailing specifying particularizing pinpointing targeting focusing aiming directing pointing indicating showing illustrating demonstrating exemplifying instance sampling modeling patterning forming shaping molding crafting creating making producing generating yielding bearing rendering delivering presenting offering providing supplying furnishing equipping outfitting arming so what defiant attitude challenge norms break rules
GFRIEND,Apple,2020,k-pop,temptation allure enticement seduction attraction appeal magnetism charisma charm fascination captivation mesmerization entrancement enchantment bewitchment spellbinding enthrallment engrossment absorption consumption preoccupation fixation obsession focus concentration attention mindfulness awareness cognizance consciousness sentience responsiveness receptivity sensitivity perception discernment discrimination distinction differentiation separation segregation isolation insulation protection defense guard security safety preservation conservation maintenance retention keeping holding grasp clutch grip seizure taking capture nabbing snatching grabbing acquisition obtainment procurement securing achievement accomplishment attainment realization actualization fulfillment satisfaction gratification pleasure delight entertainment amusement diversion engagement interest intrigue fascination captivation spellbinding enthrallment bewitchment enchantment charm mesmerization hypnotization apple temptation forbidden fruit desire longing craving wanting wishing
ASTRO,Blue Flame,2019,k-pop,burning passion intense desire fervent longing ardent yearning deep craving strong wanting powerful wishing mighty hoping forceful dreaming vigorous fantasizing energetic imagining dynamic conceiving active visualizing lively picturing animated envisaging spirited envisioning vivacious foreseeing vibrant anticipating radiant expecting luminous predicting bright projecting shining calculating glowing estimating gleaming computing glistening reckoning sparkling gauging twinkling measuring scintillating assessing dazzling evaluating blinding appraising brilliant judging spectacular rating stunning ranking amazing grading astonishing classifying astounding categorizing surprising labeling impressive tagging imposing marking commanding designating authoritative terming influential titling persuasive dubbing compelling naming convincing calling magnetic addressing attractive referring appealing known alluring identified enticing recognized tempting distinguished seductive discerned blue flame passion burning love intense desire strong wanting powerful craving
TOMORROW X TOGETHER,Run Away,2019,k-pop,escape flee abscond depart leave exit evacuate vacate empty clear remove extract withdraw pull drag haul tug yank jerk jolt shock startle surprise astonish amaze astound confound confuse bewilder perplex puzzle baffle stump mystify stupefy dumbfound flabbergast daze stun numb benumb paralyze immobilize freeze petrify ossify fossilize crystallize solidify harden stiffen rigid inflexible unbending unyielding resolute determined committed dedicated devoted loyal faithful true constant unwavering unswerving undeviating unfailing reliable dependable trustworthy credible believable plausible convincing persuasive compelling attractive appealing alluring enticing tempting tantalizing seductive desirable coveted sought-after wanted needed required desired wished hoped longed dreamed fantasized imagined conceived visualized pictured envisaged run away escape reality create fantasy world together forever united connected linked bonded joined
SUNMI,pporappippam,2020,k-pop,dreamy ethereal heavenly celestial divine godly angelic spiritual mystical magical enchanted bewitched spellbound charmed entranced captivated mesmerized hypnotized fascinated enthralled engrossed absorbed consumed preoccupied fixated obsessed focused concentrated attentive mindful aware cognizant conscious sentient responsive receptive sensitive perceptive discerning discriminating distinguishing differentiating separating segregating isolating insulating protecting defending guarding securing safeguarding preserving conserving maintaining retaining keeping holding grasping clutching gripping seizing taking capturing nabbing snatching grabbing acquiring obtaining procuring securing achieving accomplishing attaining realizing actualizing fulfilling satisfying gratifying pleasing delighting entertaining amusing diverting engaging interesting intriguing fascinating captivating spellbinding enthralling bewitching enchanting charming mesmerizing hypnotizing pporappippam dreamy moment ethereal experience heavenly feeling divine touch
WJSN,Secret,2016,k-pop,mysterious enigmatic puzzling baffling perplexing confusing bewildering bemusing mystifying stupefy dumbfounding flabbergasting dazing stunning numbing benumbing paralyzing immobilizing freezing petrifying ossifying fossilizing crystallizing solidifying hardening stiffening rigid inflexible unbending unyielding resolute determined committed dedicated devoted loyal faithful true constant unwavering unswerving undeviating unfailing reliable dependable trustworthy credible believable plausible convincing persuasive compelling attractive appealing alluring enticing tempting tantalizing seductive desirable coveted sought-after wanted needed required desired wished hoped longed dreamed fantasized imagined conceived visualized pictured envisaged envisioned foreseen anticipated expected predicted projected calculated estimated computed reckoned gauged measured assessed evaluated appraised judged rated ranked graded classified categorized labeled tagged marked designated secret mysterious enigmatic puzzling hidden concealed obscured veiled covered masked
OH MY GIRL,Dolphin,2020,k-pop,playful joyful cheerful merry jolly jovial gleeful mirthful jocular humorous amusing entertaining diverting engaging interesting intriguing fascinating captivating spellbinding enthralling bewitching enchanting charming mesmerizing hypnotizing wonder amazing astonishing astounding surprising impressive imposing commanding authoritative influential persuasive compelling convincing magnetic attractive appealing alluring enticing tempting tantalizing seductive desirable coveted sought-after wanted needed required desired wished hoped longed dreamed fantasized imagined conceived visualized pictured envisaged envisioned foreseen anticipated expected predicted projected calculated estimated computed reckoned gauged measured assessed evaluated appraised judged rated ranked graded classified categorized labeled tagged marked designated termed titled dubbed named called addressed referred known identified recognized distinguished discerned perceived noticed spotted detected observed seen witnessed beheld viewed watched dolphin playful creature joyful spirit cheerful attitude love freedom happiness
PENTAGON,Shine,2018,k-pop,brilliant luminous radiant glowing gleaming glistening sparkling twinkling scintillating dazzling blinding spectacular stunning amazing astonishing astounding surprising impressive imposing commanding authoritative influential persuasive compelling convincing magnetic attractive appealing alluring enticing tempting tantalizing seductive desirable coveted sought-after wanted needed required desired wished hoped longed dreamed fantasized imagined conceived visualized pictured envisaged envisioned foreseen anticipated expected predicted projected calculated estimated computed reckoned gauged measured assessed evaluated appraised judged rated ranked graded classified categorized labeled tagged marked designated termed titled dubbed named called addressed referred known identified recognized distinguished discerned perceived noticed spotted detected observed seen witnessed beheld viewed watched looked examined inspected scrutinized analyzed dissected deconstructed dismantled disassembled taken separated divided split fractured fragmented shine brilliantly luminously brightly boldly confidently strongly powerfully
EVERGLOW,Adios,2019,k-pop,farewell goodbye departure exit leaving abandonment desertion forsaking renunciation rejection repudiation denial refusal rebuff dismissal discharge expulsion ejection removal elimination extraction withdrawal pulling dragging hauling tugging yanking jerking jolting shocking startling surprising astonishing amazing astounding confounding confusing bewildering perplexing puzzling baffling stumping mystifying stupefying dumbfounding flabbergasting dazing stunning numbing benumbing paralyzing immobilizing freezing petrifying ossifying fossilizing crystallizing solidifying hardening stiffening rigid inflexible unbending unyielding resolute determined committed dedicated devoted loyal faithful true constant unwavering unswerving undeviating unfailing reliable dependable trustworthy credible believable plausible convincing persuasive compelling attractive appealing alluring enticing tempting tantalizing seductive desirable coveted sought-after wanted needed adios farewell goodbye departure exit leaving moving forward never looking back
ATEEZ,Answer,2020,k-pop,response reply retort comeback rejoinder rebuttal counterargument counterclaim counterstatement counterassertion contradiction negation refutation rebuttal denial rejection repudiation disavowal disownment renouncement abjuration recantation retraction withdrawal cancellation nullification invalidation voidance annulment rescission revocation abrogation abolishment termination ending finishing conclusion completion culmination consummation fulfillment achievement accomplishment attainment realization actualization satisfaction gratification pleasure delight entertainment amusement diversion engagement interest intrigue fascination captivation spellbinding enthrallment bewitchment enchantment charm mesmerization hypnotization wonder amazement astonishment astoundment surprise impression imposingness commanding authoritative influence persuasion compulsion conviction magnetism attraction appeal allure enticement temptation tantalization seduction desire covetousness search-after want need requirement desire wish hope longing dream fantasy answer response reply solution resolution conclusion understanding comprehension grasp grip hold handle clutch grabbing
CHUNG HA,Gotta Go,2019,k-pop,leaving departing exiting evacuating vacating emptying clearing removing extracting withdrawing pulling dragging hauling tugging yanking jerking jolting shocking startling surprising astonishing amazing astounding confounding confusing bewildering perplexing puzzling baffling stumping mystifying stupefying dumbfounding flabbergasting dazing stunning numbing benumbing paralyzing immobilizing freezing petrifying ossifying fossilizing crystallizing solidifying hardening stiffening rigid inflexible unbending unyielding resolute determined committed dedicated devoted loyal faithful true constant unwavering unswerving undeviating unfailing reliable dependable trustworthy credible believable plausible convincing persuasive compelling attractive appealing alluring enticing tempting tantalizing seductive desirable coveted sought-after wanted needed required desired wished hoped longed dreamed fantasized imagined conceived visualized pictured envisaged envisioned foreseen anticipated expected predicted projected gotta leave depart exit time move forward continue journey path destination
CLC,Hobgoblin,2017,k-pop,mysterious enigmatic puzzling baffling perplexing confusing bewildering bemusing mystifying stupefy dumbfounding flabbergasting dazing stunning numbing benumbing paralyzing immobilizing freezing petrifying ossifying fossilizing crystallizing solidifying hardening stiffening rigid inflexible unbending unyielding resolute determined committed dedicated devoted loyal faithful true constant unwavering unswerving undeviating unfailing reliable dependable trustworthy credible believable plausible convincing persuasive compelling attractive appealing alluring enticing tempting tantalizing seductive desirable coveted sought-after wanted needed required desired wished hoped longed dreamed fantasized imagined conceived visualized pictured envisaged envisioned foreseen anticipated expected predicted projected calculated estimated computed reckoned gauged measured assessed evaluated appraised judged rated ranked graded classified categorized labeled tagged marked designated hobgoblin mysterious creature enigmatic being puzzling entity magical existence supernatural presence
DAY6,Zombie,2020,k-pop,lifeless soulless spiritless heartless unfeeling emotionless passionless dispassionate apathetic indifferent uncaring unsympathetic callous insensitive hardhearted coldhearted stonyhearted cruel harsh severe strict firm unyielding inflexible rigid unbending resolute determined committed dedicated devoted loyal faithful true constant unwavering unswerving undeviating unfailing reliable dependable trustworthy credible believable plausible convincing persuasive compelling attractive appealing alluring enticing tempting tantalizing seductive desirable coveted sought-after wanted needed required desired wished hoped longed dreamed fantasized imagined conceived visualized pictured envisaged envisioned foreseen anticipated expected predicted projected calculated estimated computed reckoned gauged measured assessed evaluated appraised judged rated ranked graded classified categorized labeled tagged marked designated zombie lifeless existence soulless routine spiritless days heartless world unfeeling society emotionless interactions
GOT7,Hard Carry,2016,k-pop,powerful strong mighty forceful vigorous energetic dynamic active lively animated spirited vivacious vibrant radiant luminous bright shining glowing gleaming glistening sparkling twinkling scintillating dazzling blinding brilliant spectacular stunning amazing astonishing astounding surprising impressive imposing commanding authoritative influential persuasive compelling convincing magnetic attractive appealing alluring enticing tempting tantalizing seductive desirable coveted sought-after wanted needed required desired wished hoped longed dreamed fantasized imagined conceived visualized pictured envisaged envisioned foreseen anticipated expected predicted projected calculated estimated computed reckoned gauged measured assessed evaluated appraised judged rated ranked graded classified categorized labeled tagged marked designated termed titled dubbed named called addressed referred known identified recognized distinguished discerned perceived noticed spotted detected observed seen witnessed hard carry heavy lifting powerful support strong leadership mighty guidance forceful direction energetic motivation
SEVENTEEN,Fear,2019,k-pop,terrifying frightening scaring alarming startling shocking jolting astounding surprising amazing impressive awe-inspiring imposing commanding authoritative influential persuasive compelling convincing magnetic attractive appealing alluring enticing tempting tantalizing seductive desirable coveted sought-after wanted needed required desired wished hoped longed dreamed fantasized imagined conceived visualized pictured envisaged envisioned foreseen anticipated expected predicted projected calculated estimated computed reckoned gauged measured assessed evaluated appraised judged rated ranked graded classified categorized labeled tagged marked designated termed titled dubbed named called addressed referred known identified recognized distinguished discerned perceived noticed spotted detected observed seen witnessed beheld viewed watched looked examined inspected scrutinized analyzed dissected broken deconstructed dismantled disassembled taken separated divided split fractured fragmented shattered smashed crushed pulverized ground milled processed fear terrifying emotion frightening feeling scaring sensation alarming response
Dreamcatcher,Scream,2020,k-pop,shouting yelling hollering bellowing roaring howling screaming shrieking screeching squealing squeaking squawking cawing crying calling wailing sobbing weeping mourning grieving lamenting regretting remorseful sorry apologetic penitent regretful contrite repentant remorseful guilty culpable blameworthy responsible accountable answerable liable duty-bound obligated required demanded needed essential necessary vital crucial critical pivotal central fundamental basic elementary primary primitive primeval primordial primary original maiden virgin pure chaste untainted untarnished unblemished unsullied unstained unmarred unscarred unwounded undamaged unharmed uninjured unscathed untouched intact whole complete undivided unbroken unfractured unfragmented uncrushed unshattered unsmashed unpulverized unground unmilled unprocessed untreated unhandled unmanaged uncontrolled unoperated unmanipulated unmaneuvered unorchestrated unconducted undirected unproduced undelivered unserved unpresented scream shout yell holler emotions pouring voice raised
SEVENTEEN,Home,2019,k-pop,comfort safety warmth belonging refuge shelter protection embrace security reassurance familiar intimate cozy
BTS,Spring Day,2017,k-pop,longing waiting yearning missing memories friendship endurance hope patience seasons change reunion
MAMAMOO,Starry Night,2018,k-pop,celestial dreams space freedom escape transcendence mystery wonder journey exploration wanderlust
BIGBANG,Bang Bang Bang,2015,k-pop,energy power dominance charisma confidence intensity vibration impact force boldness
Girls' Generation,Gee,2009,k-pop,excitement infatuation discovery crush butterflies nervousness admiration happiness bliss
SHINee,View,2015,k-pop,refreshing rejuvenating liberating carefree youthful energy summer adventure discovery freedom
